Symbol,Date,Open,High,Low,Close,Volume
AXU,30-May-2014,1.08,1.11,1.03,1.05,394700
AXU,02-Jun-2014,1.05,1.13,1.04,1.06,393700
AXU,03-Jun-2014,1.06,1.1,1.03,1.05,204200
AXU,04-Jun-2014,1.06,1.08,1.02,1.03,261000
AXU,05-Jun-2014,1.01,1.06,0.99,0.99,690800
AXU,06-Jun-2014,0.99,1.02,0.97,0.99,344500
AXU,09-Jun-2014,1,1.03,0.98,1,592100
AXU,10-Jun-2014,1.02,1.06,0.98,0.98,536300
AXU,11-Jun-2014,0.98,1,0.91,0.95,871700
AXU,12-Jun-2014,0.98,1.11,0.98,1.07,945700
AXU,13-Jun-2014,1.1,1.17,1.06,1.12,754000
AXU,16-Jun-2014,1.11,1.15,1,1.02,824900
AXU,17-Jun-2014,1.06,1.13,1.02,1.08,509600
AXU,18-Jun-2014,1.11,1.13,1.08,1.11,702700
AXU,19-Jun-2014,1.16,1.32,1.13,1.28,1851400
AXU,20-Jun-2014,1.31,1.36,1.24,1.27,6334900
AXU,23-Jun-2014,1.31,1.4,1.29,1.32,825300
AXU,24-Jun-2014,1.31,1.42,1.31,1.4,535500
AXU,25-Jun-2014,1.41,1.41,1.31,1.31,344800
AXU,26-Jun-2014,1.3,1.34,1.28,1.31,577500
AXU,27-Jun-2014,1.28,1.31,1.26,1.27,304800
AXU,30-Jun-2014,1.26,1.3,1.21,1.26,292100
AXU,01-Jul-2014,1.26,1.31,1.21,1.22,189600
AXU,02-Jul-2014,1.22,1.29,1.22,1.26,244400
AXU,03-Jul-2014,1.27,1.27,1.2,1.2,340600
AXU,04-Jul-2014,1.2,1.2,1.2,1.2,0
AXU,07-Jul-2014,1.24,1.27,1.2,1.2,289100
AXU,08-Jul-2014,1.24,1.28,1.18,1.25,227800
AXU,09-Jul-2014,1.24,1.35,1.23,1.32,446400
AXU,10-Jul-2014,1.4,1.44,1.3,1.31,574000
AXU,11-Jul-2014,1.3,1.4,1.3,1.38,442000
AXU,14-Jul-2014,1.24,1.39,1.24,1.3,516700
